,age,job,education,default,balance,personal-loan,current-campaign,subscribed
0,30,unemployed,primary,no,1787,no,1,no
1,33,services,secondary,no,4789,yes,1,no
2,35,management,tertiary,no,1350,no,1,no
3,30,management,tertiary,no,1476,yes,4,no
4,59,blue-collar,secondary,no,0,no,1,no
5,35,management,tertiary,no,747,no,2,no
6,36,self-employed,tertiary,no,307,no,1,no
7,39,technician,secondary,no,147,no,2,no
8,41,entrepreneur,tertiary,no,221,no,2,no
9,43,services,primary,no,-88,yes,1,no
10,39,services,secondary,no,9374,no,1,no
11,43,admin.,secondary,no,264,no,2,no
12,36,technician,tertiary,no,1109,no,2,no
13,20,student,secondary,no,502,no,1,yes
14,31,blue-collar,secondary,no,360,yes,1,no
15,40,management,tertiary,no,194,yes,2,no
16,56,technician,secondary,no,4073,no,5,no
17,37,admin.,tertiary,no,2317,no,1,no
18,25,blue-collar,primary,no,-221,no,1,no
19,31,services,secondary,no,132,no,1,no
20,38,management,tertiary,no,0,no,2,no
21,42,management,tertiary,no,16,no,3,no
22,44,services,secondary,no,106,no,2,no
23,44,entrepreneur,secondary,no,93,no,2,no
24,26,housemaid,tertiary,no,543,no,3,no
25,41,management,tertiary,no,5883,no,2,no
26,55,blue-collar,primary,no,627,no,1,no
27,67,retired,secondary,no,696,no,1,no
28,56,self-employed,secondary,no,784,yes,2,no
29,53,admin.,secondary,no,105,yes,2,no
30,68,retired,secondary,no,4189,no,2,yes
31,31,technician,secondary,no,171,no,3,no
32,59,management,secondary,no,42,no,1,no
33,32,management,tertiary,no,2536,no,6,yes
34,49,technician,tertiary,no,1235,no,3,yes
35,42,admin.,secondary,no,1811,no,1,no
36,78,retired,primary,no,229,no,1,yes
37,32,blue-collar,secondary,no,2089,no,1,yes
38,33,management,secondary,no,3935,no,1,yes
39,23,services,tertiary,no,363,no,18,no
40,38,management,tertiary,no,11971,no,2,no
41,36,management,tertiary,no,553,no,2,no
42,52,blue-collar,secondary,no,1117,no,1,no
43,32,technician,tertiary,no,396,no,3,no
44,32,technician,tertiary,no,2204,no,4,no
45,34,management,tertiary,no,872,no,2,no
46,55,blue-collar,primary,no,145,no,3,no
47,26,blue-collar,primary,no,0,no,1,no
48,32,entrepreneur,primary,yes,-849,yes,1,no
49,61,admin.,secondary,no,4629,no,1,yes
50,45,blue-collar,primary,no,844,no,3,yes
51,37,technician,secondary,no,228,no,2,no
52,38,technician,secondary,no,50,no,2,no
53,34,technician,tertiary,no,1539,no,1,yes
54,53,blue-collar,secondary,no,2231,no,3,no
55,48,admin.,secondary,no,3064,no,2,no
56,57,management,secondary,no,82,yes,1,no
57,33,self-employed,tertiary,no,2155,no,1,no
58,36,retired,secondary,no,101,yes,1,no
59,54,technician,secondary,no,784,yes,1,no
60,41,blue-collar,primary,no,-516,yes,3,no
61,63,retired,secondary,no,415,no,1,no
62,48,management,tertiary,no,5887,no,2,no
63,48,services,secondary,no,1355,no,2,no
64,56,admin.,secondary,no,16873,no,1,no
65,51,blue-collar,secondary,no,203,no,1,no
66,31,services,secondary,no,338,no,1,no
67,29,technician,secondary,no,444,no,4,no
68,41,management,secondary,no,0,yes,3,no
69,32,technician,tertiary,no,360,no,2,no
70,37,management,tertiary,no,0,no,2,yes
71,42,entrepreneur,tertiary,yes,2,no,1,no
72,31,management,tertiary,no,6248,no,2,no
73,41,services,tertiary,no,412,no,5,no
74,56,retired,secondary,no,344,no,1,no
75,54,management,tertiary,no,3222,no,2,no
76,41,blue-collar,secondary,no,174,no,2,no
77,40,technician,secondary,no,591,yes,6,no
78,50,blue-collar,primary,no,388,no,1,no
79,40,unemployed,secondary,no,219,no,2,no
80,27,admin.,secondary,no,451,no,1,yes
81,60,retired,primary,no,5,no,2,no
82,28,admin.,secondary,no,177,yes,1,no
83,52,services,secondary,no,657,no,2,yes
84,37,management,tertiary,no,1315,no,1,yes
85,51,blue-collar,primary,no,1466,no,2,no
86,41,technician,secondary,no,879,yes,4,no
87,35,blue-collar,primary,no,293,no,2,no
88,38,admin.,secondary,no,424,no,1,no
89,34,blue-collar,secondary,no,1831,no,2,no
90,39,blue-collar,primary,no,111,no,2,no
91,34,blue-collar,primary,no,455,no,3,no
92,27,services,secondary,no,-195,no,1,yes
93,32,management,tertiary,no,3616,no,2,no
94,57,blue-collar,secondary,no,14093,no,5,no
95,41,management,tertiary,no,1567,no,2,no
96,41,admin.,tertiary,no,5426,no,2,no
97,30,admin.,tertiary,no,261,no,1,no
98,36,blue-collar,secondary,no,2843,no,1,no
99,31,unemployed,primary,no,406,no,1,yes
100,36,blue-collar,secondary,no,0,no,1,no
101,38,management,tertiary,no,493,no,1,no
102,49,technician,secondary,no,5996,no,2,no
103,57,services,primary,no,3777,no,2,no
104,34,management,secondary,no,524,no,1,no
105,32,management,tertiary,no,574,no,2,no
106,37,blue-collar,secondary,no,427,yes,3,no
107,33,self-employed,tertiary,no,483,no,2,no
108,56,unemployed,primary,no,3391,no,1,yes
109,27,housemaid,primary,no,0,no,3,no
110,21,student,secondary,no,2488,no,6,yes
111,58,management,tertiary,no,1517,no,5,no
112,32,self-employed,secondary,no,217,yes,5,no
113,33,blue-collar,secondary,no,22,no,2,no
114,25,student,secondary,no,331,no,4,yes
115,25,technician,secondary,no,505,yes,2,yes
116,30,services,secondary,no,1808,no,2,no
117,22,admin.,secondary,no,4111,yes,1,no
118,39,blue-collar,primary,no,52,no,1,no
119,46,management,tertiary,no,25,no,2,no
120,31,admin.,secondary,no,1890,no,1,no
121,45,blue-collar,primary,no,419,no,4,no
122,32,technician,secondary,no,2693,no,1,no
123,36,blue-collar,secondary,no,-231,yes,2,no
124,51,management,tertiary,yes,-55,no,2,no
125,34,self-employed,tertiary,no,462,no,3,yes
126,24,unemployed,secondary,no,119,no,1,no
127,45,technician,secondary,no,586,yes,3,no
128,32,blue-collar,secondary,no,228,no,1,no
129,77,retired,tertiary,no,4659,no,1,yes
130,41,blue-collar,primary,no,168,no,3,no
131,37,blue-collar,primary,no,0,no,1,no
132,43,blue-collar,secondary,yes,-715,no,3,no
133,48,admin.,secondary,no,0,no,1,no
134,27,technician,secondary,no,769,no,2,no
135,33,management,tertiary,no,0,no,10,no
136,29,admin.,secondary,no,428,yes,1,no
137,34,management,tertiary,no,0,no,1,no
138,52,management,tertiary,no,-970,no,1,yes
139,60,management,tertiary,no,6313,no,2,no
140,32,management,tertiary,no,948,no,2,no
141,32,management,tertiary,no,0,no,2,no
142,56,services,secondary,no,1877,no,1,no
143,31,management,tertiary,no,874,no,2,no
144,42,admin.,secondary,no,323,yes,2,no
145,35,management,tertiary,no,106,yes,2,no
146,56,retired,primary,no,1906,yes,9,no
147,48,technician,secondary,no,1152,no,5,no
148,46,admin.,secondary,no,179,no,4,no
149,37,technician,secondary,no,391,no,3,no
150,41,entrepreneur,secondary,no,89,no,2,no
151,36,management,tertiary,no,442,yes,3,no
152,45,unemployed,primary,yes,-249,yes,1,no
153,55,entrepreneur,secondary,no,8104,no,2,no
154,39,technician,secondary,no,501,no,1,no
155,35,technician,secondary,no,308,no,2,no
156,55,admin.,secondary,no,602,no,3,yes
157,55,technician,secondary,no,273,no,3,no
158,27,self-employed,secondary,no,50,no,1,no
159,34,technician,secondary,no,1641,no,1,no
160,34,blue-collar,tertiary,no,20,no,1,no
161,25,admin.,secondary,no,4590,no,2,no
162,41,admin.,secondary,no,-256,yes,3,no
163,43,services,secondary,no,978,yes,2,no
164,28,management,tertiary,no,80,no,2,yes
165,31,admin.,secondary,no,2104,no,1,no
166,78,housemaid,secondary,no,499,no,4,no
167,45,blue-collar,secondary,no,1269,no,2,no
168,48,technician,tertiary,no,310,no,1,no
169,32,blue-collar,secondary,no,1143,yes,1,no
170,42,technician,secondary,no,2980,no,3,no
171,37,management,tertiary,no,37,no,2,no
172,40,admin.,secondary,no,462,yes,1,no
173,32,admin.,secondary,no,1031,no,1,no
174,42,management,tertiary,no,9009,no,2,no
175,43,admin.,secondary,no,-465,yes,1,no
176,44,admin.,secondary,no,5181,yes,7,no
177,37,admin.,secondary,no,176,no,2,no
178,37,management,tertiary,no,1699,no,1,no
179,37,admin.,tertiary,no,0,no,2,no
180,28,technician,tertiary,no,172,yes,2,no
181,32,services,secondary,no,0,yes,2,no
182,34,admin.,secondary,no,6979,no,5,no
183,40,admin.,secondary,no,6,no,1,no
184,34,services,secondary,no,-62,no,3,no
185,34,self-employed,tertiary,no,1972,no,2,no
186,34,admin.,tertiary,no,899,no,3,no
187,37,services,secondary,no,21,no,1,no
188,36,technician,secondary,no,23,no,2,no
189,56,retired,secondary,no,-1206,no,2,yes
190,49,blue-collar,primary,no,0,yes,6,no
191,33,self-employed,secondary,no,215,no,12,no
192,30,management,tertiary,no,1372,no,2,no
193,36,services,secondary,no,1981,no,2,no
194,23,student,secondary,no,9216,no,2,no
195,57,retired,secondary,no,39,no,3,no
196,27,blue-collar,secondary,no,5563,no,2,no
197,38,services,secondary,no,1,yes,2,no
198,42,technician,tertiary,no,782,no,1,no
199,75,retired,secondary,no,3771,no,1,yes
200,34,technician,tertiary,no,992,no,1,no
201,48,technician,secondary,no,1526,no,2,no
202,35,technician,tertiary,no,2658,no,2,yes
203,39,management,tertiary,no,1315,no,4,no
204,29,blue-collar,tertiary,no,455,no,1,yes
205,45,technician,tertiary,no,0,no,2,no
206,42,technician,secondary,no,2030,yes,1,no
207,29,technician,secondary,no,1599,no,1,no
208,38,services,secondary,no,-196,no,1,no
209,56,retired,secondary,no,1333,no,14,no
210,36,technician,secondary,no,9149,no,3,no
211,25,blue-collar,secondary,no,-350,no,3,no
212,38,technician,tertiary,no,432,no,2,no
213,57,self-employed,secondary,no,11494,no,1,no
214,31,management,tertiary,yes,-253,no,4,no
215,42,management,tertiary,no,372,no,2,yes
216,45,technician,secondary,no,1410,no,2,no
217,30,blue-collar,secondary,no,975,no,2,no
218,49,blue-collar,primary,no,305,yes,10,no
219,49,services,secondary,no,400,no,3,no
220,53,retired,tertiary,no,-22,no,3,no
221,37,technician,secondary,no,4030,no,5,no
222,49,blue-collar,primary,no,365,no,2,no
223,41,self-employed,primary,no,204,no,7,no
224,54,management,primary,no,1691,no,1,no
225,32,services,secondary,no,406,no,1,no
226,33,technician,secondary,no,-204,no,3,no
227,33,technician,secondary,no,359,no,1,no
228,36,blue-collar,primary,no,123,no,1,no
229,35,technician,tertiary,no,0,yes,1,no
230,52,management,secondary,no,142,no,6,no
231,40,entrepreneur,tertiary,no,3571,no,3,no
232,44,technician,secondary,no,33,no,3,no
233,45,blue-collar,secondary,no,0,no,2,no
234,30,student,secondary,no,3096,no,1,no
235,48,technician,secondary,yes,20,no,3,no
236,33,blue-collar,secondary,no,3576,no,1,no
237,57,technician,secondary,no,206,no,3,no
238,57,housemaid,primary,no,7082,no,3,no
239,51,unemployed,tertiary,no,1634,no,4,no
240,34,admin.,secondary,no,1,no,7,no
241,50,self-employed,tertiary,no,4012,no,3,no
242,44,management,tertiary,no,3762,no,12,no
243,27,admin.,secondary,no,-247,yes,2,no
244,50,blue-collar,secondary,no,606,no,2,no
245,36,management,tertiary,no,0,no,1,no
246,42,management,secondary,no,-189,no,2,no
247,32,unemployed,secondary,no,0,no,2,no
248,42,management,tertiary,no,484,no,2,no
249,43,technician,secondary,no,0,yes,2,no
250,31,management,tertiary,no,395,no,3,no
251,32,management,tertiary,no,2349,no,5,no
252,55,blue-collar,primary,no,410,yes,2,no
253,58,retired,primary,no,3401,no,3,no
254,46,blue-collar,primary,no,222,no,2,no
255,55,blue-collar,secondary,no,989,yes,4,no
256,34,management,tertiary,no,415,yes,2,no
257,28,unemployed,secondary,no,16,no,4,no
258,42,technician,tertiary,no,7190,no,2,no
259,29,blue-collar,secondary,no,482,yes,3,yes
260,54,housemaid,secondary,no,209,yes,1,no
261,32,technician,secondary,no,0,no,2,no
262,39,technician,tertiary,no,5803,no,3,no
263,53,entrepreneur,tertiary,no,624,yes,4,no
264,58,technician,tertiary,no,883,no,1,no
265,40,self-employed,secondary,no,1516,yes,1,no
266,29,student,secondary,no,872,no,1,no
267,33,technician,tertiary,no,-988,yes,3,no
268,38,admin.,secondary,no,902,no,13,no
269,56,services,secondary,no,1007,no,6,no
270,40,services,secondary,no,0,no,1,no
271,24,blue-collar,secondary,no,174,yes,1,yes
272,46,management,secondary,no,12186,no,3,no
273,35,self-employed,secondary,no,524,no,4,no
274,35,blue-collar,tertiary,no,0,no,4,no
275,34,technician,secondary,no,4,no,1,no
276,35,housemaid,tertiary,no,11219,no,2,no
277,38,technician,tertiary,no,0,no,2,no
278,50,blue-collar,primary,no,5776,no,3,no
279,51,blue-collar,primary,no,37,no,1,no
280,59,self-employed,tertiary,no,593,no,2,no
281,32,blue-collar,secondary,no,1148,no,1,no
282,37,blue-collar,secondary,no,3561,no,1,no
283,42,admin.,secondary,no,63,no,6,no
284,40,student,secondary,no,260,no,6,no
285,28,technician,tertiary,no,2269,no,1,no
286,47,admin.,secondary,no,1060,no,3,no
287,27,self-employed,secondary,no,-220,no,2,no
288,41,management,tertiary,no,49,no,5,no
289,34,admin.,tertiary,no,69,yes,3,yes
290,50,blue-collar,primary,no,4108,no,2,yes
291,47,blue-collar,secondary,no,480,no,2,no
292,53,services,secondary,no,4994,no,6,no
293,53,technician,secondary,no,0,yes,5,no
294,47,management,tertiary,no,3681,no,2,no
295,49,entrepreneur,secondary,yes,-701,no,2,yes
296,29,management,tertiary,no,451,no,1,no
297,45,blue-collar,primary,no,-311,no,1,yes
298,38,entrepreneur,secondary,no,593,yes,24,yes
299,32,blue-collar,secondary,no,759,no,5,yes
300,70,retired,primary,no,4531,no,1,no
301,65,retired,primary,no,1840,no,2,no
