,age,job,education,default,balance,personal_loan,Current_campaign
0,30,10,0,0,1475,0,0
1,33,7,1,0,2030,1,0
2,35,4,2,0,1303,0,0
3,30,4,2,0,1352,1,3
4,59,1,1,0,274,0,0
5,35,4,2,0,934,0,1
6,36,6,2,0,569,0,0
7,39,9,1,0,420,0,1
8,41,2,2,0,491,0,1
9,43,7,0,0,218,1,0
10,39,7,1,0,2254,0,0
11,43,0,1,0,531,0,1
12,36,9,2,0,1173,0,1
13,20,8,1,0,750,0,0
14,31,1,1,0,620,1,0
15,40,4,2,0,464,1,1
16,56,9,1,0,1949,0,4
17,37,0,2,0,1629,0,0
18,25,1,0,0,163,0,0
19,31,7,1,0,405,0,0
20,38,4,2,0,274,0,1
21,42,4,2,0,290,0,2
22,44,7,1,0,380,0,1
23,44,2,1,0,367,0,1
24,26,3,2,0,778,0,2
25,41,4,2,0,2117,0,1
26,55,1,0,0,845,0,0
27,67,5,1,0,900,0,0
28,56,6,1,0,966,1,1
29,53,0,1,0,379,1,1
30,68,5,1,0,1965,0,1
31,31,9,1,0,442,0,2
32,59,4,1,0,316,0,0
33,32,4,2,0,1676,0,5
34,49,9,2,0,1247,0,2
35,42,0,1,0,1483,0,0
36,78,5,0,0,499,0,0
37,32,1,1,0,1565,0,0
38,33,4,1,0,1928,0,0
39,23,7,2,0,623,0,17
40,38,4,2,0,2284,0,1
41,36,4,2,0,786,0,1
42,52,1,1,0,1177,0,0
43,32,9,2,0,652,0,2
44,32,9,2,0,1599,0,3
45,34,4,2,0,1029,0,1
46,55,1,0,0,418,0,2
47,26,1,0,0,274,0,0
48,32,2,0,1,27,1,0
49,61,0,1,0,2013,0,0
50,45,1,0,0,1012,0,2
51,37,9,1,0,498,0,1
52,38,9,1,0,324,0,1
53,34,9,2,0,1381,0,0
54,53,1,1,0,1606,0,2
55,48,0,1,0,1791,0,1
56,57,4,1,0,356,1,0
57,33,6,2,0,1584,0,0
58,36,5,1,0,375,1,0
59,54,9,1,0,966,1,0
60,41,1,0,0,69,1,2
61,63,5,1,0,670,0,0
62,48,4,2,0,2118,0,1
63,48,7,1,0,1306,0,1
64,56,0,1,0,2323,0,0
65,51,1,1,0,473,0,0
66,31,7,1,0,599,0,0
67,29,9,1,0,697,0,3
68,41,4,1,0,274,1,2
69,32,9,2,0,620,0,1
70,37,4,2,0,274,0,1
71,42,2,2,1,276,0,0
72,31,4,2,0,2137,0,1
73,41,7,2,0,667,0,4
74,56,5,1,0,605,0,0
75,54,4,2,0,1816,0,1
76,41,1,1,0,445,0,1
77,40,9,1,0,816,1,5
78,50,1,0,0,646,0,0
79,40,10,1,0,489,0,1
80,27,0,1,0,703,0,0
81,60,5,0,0,279,0,1
82,28,0,1,0,448,1,0
83,52,7,1,0,870,0,1
84,37,4,2,0,1285,0,0
85,51,1,0,0,1347,0,1
86,41,9,1,0,1034,1,3
87,35,1,0,0,556,0,1
88,38,0,1,0,678,0,0
89,34,1,1,0,1488,0,1
90,39,1,0,0,385,0,1
91,34,1,0,0,707,0,2
92,27,7,1,0,174,0,0
93,32,4,2,0,1881,0,1
94,57,1,1,0,2306,0,4
95,41,4,2,0,1395,0,1
96,41,0,2,0,2089,0,1
97,30,0,2,0,528,0,0
98,36,1,1,0,1747,0,0
99,31,10,0,0,662,0,0
100,36,1,1,0,274,0,0
101,38,4,2,0,742,0,0
102,49,9,1,0,2125,0,1
103,57,7,0,0,1907,0,1
104,34,4,1,0,766,0,0
105,32,4,2,0,802,0,1
106,37,1,1,0,681,1,2
107,33,6,2,0,733,0,1
108,56,10,0,0,1847,0,0
109,27,3,0,0,274,0,2
110,21,8,1,0,1668,0,5
111,58,4,2,0,1369,0,4
112,32,6,1,0,487,1,4
113,33,1,1,0,296,0,1
114,25,8,1,0,593,0,3
115,25,9,1,0,752,1,1
116,30,7,1,0,1481,0,1
117,22,0,1,0,1958,1,0
118,39,1,0,0,326,0,0
119,46,4,2,0,299,0,1
120,31,0,1,0,1506,0,0
121,45,1,0,0,673,0,3
122,32,9,1,0,1716,0,0
123,36,1,1,0,158,1,1
124,51,4,2,1,235,0,1
125,34,6,2,0,712,0,2
126,24,10,1,0,393,0,0
127,45,9,1,0,812,1,2
128,32,1,1,0,498,0,0
129,77,5,2,0,2016,0,0
130,41,1,0,0,439,0,2
131,37,1,0,0,274,0,0
132,43,1,1,1,34,0,2
133,48,0,1,0,274,0,0
134,27,9,1,0,952,0,1
135,33,4,2,0,274,0,9
136,29,0,1,0,682,1,0
137,34,4,2,0,274,0,0
138,52,4,2,0,15,0,0
139,60,4,2,0,2141,0,1
140,32,4,2,0,1074,0,1
141,32,4,2,0,274,0,1
142,56,7,1,0,1502,0,0
143,31,4,2,0,1030,0,1
